"지점","지점명","일시","기온..C.","풍향.deg.","풍속.m.s.","강수량.mm.","습도...","시"
400,"강남","2017-07-01",25.4,256.6,1.4,0,65.3,0
400,"강남","2017-07-01",25.2,285.5,1.7,0,68.7,1
400,"강남","2017-07-01",24.7,236.9,1.8,0,73.1,2
400,"강남","2017-07-01",24.4,253.5,0.8,0,73.4,3
400,"강남","2017-07-01",24,239.3,1.6,0,78.5,4
400,"강남","2017-07-01",23.8,242.2,1.1,0,84.4,5
400,"강남","2017-07-01",23.6,293.5,0.7,0,86,6
400,"강남","2017-07-01",23.8,251.6,1.1,0,83.8,7
400,"강남","2017-07-01",24,276,1.6,0,82.5,8
400,"강남","2017-07-01",24.9,248.3,0.9,0,74.3,9
400,"강남","2017-07-01",24.8,289.6,1.8,0,74.9,10
400,"강남","2017-07-01",25.9,254.4,1.3,0,69.3,11
400,"강남","2017-07-01",26.3,42.6,0.8,0,65.2,12
400,"강남","2017-07-01",27.9,194.4,2,0,59.3,13
400,"강남","2017-07-01",29,213.3,1.8,0,53.6,14
400,"강남","2017-07-01",30.1,241.9,1.6,0,50.5,15
400,"강남","2017-07-01",29,199,2.6,0,54.2,16
400,"강남","2017-07-01",27.9,192,2.7,0,60.8,17
400,"강남","2017-07-01",25.8,186.4,2.4,0,74.8,18
400,"강남","2017-07-01",24.1,196.3,0.9,0.5,94.6,19
400,"강남","2017-07-01",24.4,303,1.5,0,88.5,20
400,"강남","2017-07-01",24.6,205.2,1.1,0,88.8,21
400,"강남","2017-07-01",24.7,181.4,1.2,0,89.7,22
400,"강남","2017-07-01",24.9,200,1.2,0,89.3,23
400,"강남","2017-07-02",25.1,253.2,1.8,0,89.4,0
400,"강남","2017-07-02",24.7,272.1,1.1,0.5,92.4,1
400,"강남","2017-07-02",24.1,210.6,1.8,2.5,95.9,2
400,"강남","2017-07-02",23.9,226.7,0.9,18.5,99.9,3
400,"강남","2017-07-02",24.3,255.6,1.2,1.5,98.4,0
400,"강남","2017-07-02",24.4,248.1,1,1.5,98,1
400,"강남","2017-07-02",24.4,0,0.2,0,97.9,2
400,"강남","2017-07-02",24.7,200.3,1.2,0,97.7,3
400,"강남","2017-07-02",25,185.8,0.5,0,96.3,4
400,"강남","2017-07-02",25,183.7,0.6,1,97.7,5
400,"강남","2017-07-02",26.2,199.9,1.4,0,94.7,10
400,"강남","2017-07-02",25.9,226.7,2.2,0.5,92.5,11
400,"강남","2017-07-02",26.5,241.7,1.3,1,93.1,12
400,"강남","2017-07-02",27.3,243.1,1.8,0,87.3,13
400,"강남","2017-07-02",27.2,235.2,2.6,0,85.7,14
400,"강남","2017-07-02",26.1,255.6,3,0.5,93.1,15
400,"강남","2017-07-02",26.5,244.6,2.2,0,91.1,16
400,"강남","2017-07-02",27,234.2,1.3,0,88.2,17
400,"강남","2017-07-02",26.4,257.1,1.8,0,91.8,18
400,"강남","2017-07-02",26.1,250.2,2.2,0,92.8,19
400,"강남","2017-07-02",26.2,237.1,1.2,0,90.6,20
400,"강남","2017-07-02",23.3,299.9,1,18.5,98.4,21
400,"강남","2017-07-02",23,279.1,1,5,98.9,22
400,"강남","2017-07-02",22.8,0,0.3,13.5,99.9,23
400,"강남","2017-07-03",22.5,285.4,1.9,30,99.9,6
400,"강남","2017-07-03",22.6,256.9,0.7,22.5,99.9,7
400,"강남","2017-07-03",22.6,0,0.4,5.5,99.9,8
400,"강남","2017-07-03",25.1,226.7,2.1,0,99.9,9
400,"강남","2017-07-03",25.2,236.6,5.3,0,90.3,0
400,"강남","2017-07-03",24.3,251.2,2.8,1.5,97.5,1
400,"강남","2017-07-03",24.4,248,3.4,0.5,96.6,2
400,"강남","2017-07-03",24.4,249.4,2.9,0,95.4,3
400,"강남","2017-07-03",24.3,252.4,2.8,0,97.5,4
400,"강남","2017-07-03",24,263.3,2.4,2.5,98.4,5
400,"강남","2017-07-03",24.7,246.1,2.6,1,95.3,10
400,"강남","2017-07-03",26.1,250.4,2.2,0,87.6,11
400,"강남","2017-07-03",27.5,234.6,2.3,0,79.4,12
400,"강남","2017-07-03",28.7,251.4,2.5,0,69.5,13
400,"강남","2017-07-03",28.2,254.4,3.4,0,74.3,14
400,"강남","2017-07-03",27.4,246.3,4.2,0,76.7,15
400,"강남","2017-07-03",26.9,238.1,3.9,0,81.8,16
400,"강남","2017-07-03",26.9,238.3,2.9,0,79,17
400,"강남","2017-07-03",26.4,253.3,3.1,0,83.5,18
400,"강남","2017-07-03",25.9,257.8,3.6,0,86.4,19
400,"강남","2017-07-03",25.8,254.9,3.2,0,86.8,20
400,"강남","2017-07-03",25.8,245.9,2,0,87,21
400,"강남","2017-07-03",24.9,265.8,2.3,0.5,93.1,22
400,"강남","2017-07-03",24.6,276.6,2.1,0,93.3,23
400,"강남","2017-07-04",24.7,267.1,1.3,0,93.1,6
400,"강남","2017-07-04",24.6,269.7,1.7,0.5,93,7
400,"강남","2017-07-04",24.3,245.3,0.8,0.5,97.5,8
400,"강남","2017-07-04",24.3,0,0.3,0.5,98.1,9
400,"강남","2017-07-04",23.9,152.2,0.5,1.5,99.4,0
400,"강남","2017-07-04",23.8,0,0.1,3,99.9,1
400,"강남","2017-07-04",24,245.2,0.5,0.5,99.9,2
400,"강남","2017-07-04",24.4,0,0.3,0,99.5,3
400,"강남","2017-07-04",25.5,0,0.1,0,94.4,0
400,"강남","2017-07-04",27,252.3,0.9,0,83.8,1
400,"강남","2017-07-04",27.4,175.6,1.1,0,78.7,10
400,"강남","2017-07-04",29.5,300.7,1,0,66.6,11
400,"강남","2017-07-04",30.1,259.5,1.5,0,59.9,12
400,"강남","2017-07-04",30.9,260.6,2,0,54,13
400,"강남","2017-07-04",31.3,252.9,3.3,0,58.7,14
400,"강남","2017-07-04",31.6,260.4,2.8,0,56.9,15
400,"강남","2017-07-04",30.9,276.4,3.1,0,58.1,16
400,"강남","2017-07-04",30.5,291.3,2.7,0,58.2,17
400,"강남","2017-07-04",30.1,262.3,2.8,0,60.4,18
400,"강남","2017-07-04",28.5,244.9,2.1,0,68.1,19
400,"강남","2017-07-04",27.1,253.8,2.4,0,73.2,20
400,"강남","2017-07-04",26.2,266,2.1,0,75.7,21
400,"강남","2017-07-04",25.9,241.7,2,0,75.8,22
400,"강남","2017-07-04",25.3,259.4,1.7,0,79.5,23
400,"강남","2017-07-05",25,247.3,1.7,0,83,2
400,"강남","2017-07-05",24.7,235.6,1.7,0,84.5,3
400,"강남","2017-07-05",24.6,243.3,1,0,86.7,4
400,"강남","2017-07-05",24.2,202.7,1.3,0,89,5
400,"강남","2017-07-05",24.3,309.1,0.9,0,88,6
400,"강남","2017-07-05",24.5,303.5,1.3,0,84.2,7
400,"강남","2017-07-05",24.5,216.7,1,0,83.7,8
400,"강남","2017-07-05",25.1,231.3,0.6,0,80.1,9
400,"강남","2017-07-05",25.2,212.2,0.7,0,79.4,0
400,"강남","2017-07-05",26.4,301,1.1,0,73.3,1
400,"강남","2017-07-05",28.1,194.3,0.8,0,66.1,10
400,"강남","2017-07-05",29.8,129.5,1.2,0,58.6,11
400,"강남","2017-07-05",29.4,357.7,1.5,0,61.6,12
400,"강남","2017-07-05",31.7,295.3,0.8,0,51,13
400,"강남","2017-07-05",31.4,227.4,1.6,0,49.7,14
400,"강남","2017-07-05",32,258.8,1.2,0,47.8,15
400,"강남","2017-07-05",32.6,16.8,0.5,0,42.1,16
400,"강남","2017-07-05",33.2,248.6,0.9,0,43.7,17
400,"강남","2017-07-05",31.7,252.8,2.6,0,53.5,18
400,"강남","2017-07-05",30.5,292,2.7,0,56,19
400,"강남","2017-07-05",29.6,283,2.6,0,60.3,20
400,"강남","2017-07-05",29.4,262.1,0.8,0,62.5,21
400,"강남","2017-07-05",28.6,62.7,0.6,0,65.9,22
400,"강남","2017-07-05",28.6,283.5,1.4,0,65.5,23
400,"강남","2017-07-06",28,272.6,1.3,0,65.6,2
400,"강남","2017-07-06",27.5,298.5,0.6,0,69.4,3
400,"강남","2017-07-06",26.8,211.2,1.1,0,70.9,4
400,"강남","2017-07-06",26,73.1,1,0,76.9,5
400,"강남","2017-07-06",25.4,70.9,0.7,0,82.1,6
400,"강남","2017-07-06",25.3,0,0.3,0,82.9,7
400,"강남","2017-07-06",24.5,60.1,1,0,88.7,8
400,"강남","2017-07-06",26.2,133.7,0.6,0,80.8,9
400,"강남","2017-07-06",26.5,48.8,1.3,0,77.2,0
400,"강남","2017-07-06",27.6,102.1,1.1,0,72.9,1
400,"강남","2017-07-06",28.4,61.5,2,0,69.3,10
400,"강남","2017-07-06",30.8,202,1.5,0,59.3,11
400,"강남","2017-07-06",32.1,187.3,1.6,0,54,12
400,"강남","2017-07-06",32.4,137.2,1.8,0,51.1,13
400,"강남","2017-07-06",33.7,157.6,1.1,0,47.9,14
400,"강남","2017-07-06",33.9,241.6,1.2,0,45.5,15
400,"강남","2017-07-06",34,248.6,1.1,0,43.6,16
400,"강남","2017-07-06",32.3,276.3,3.1,0,56.4,17
400,"강남","2017-07-06",25.6,262.4,2,5,89.3,18
400,"강남","2017-07-06",26.1,303.6,1.2,2,85,19
400,"강남","2017-07-06",27.3,212.7,1.3,0,83.4,20
400,"강남","2017-07-06",27.4,253.6,2.7,0,83.6,21
400,"강남","2017-07-06",27.1,0,0.2,0,81.9,22
400,"강남","2017-07-06",27,179.3,0.6,0,83.3,23
400,"강남","2017-07-07",26.8,192.4,0.7,0,82.3,2
400,"강남","2017-07-07",26.1,203.7,1.1,0,87,3
400,"강남","2017-07-07",25.8,164.2,0.5,0,85.7,0
400,"강남","2017-07-07",25.6,200.6,1.4,0,84.4,1
400,"강남","2017-07-07",25.2,151.2,0.8,0,86.1,2
400,"강남","2017-07-07",25.3,0,0.4,0,85.3,3
400,"강남","2017-07-07",25.3,165.2,0.8,0,83.6,4
400,"강남","2017-07-07",25.9,69.8,0.9,0,83.2,5
400,"강남","2017-07-07",27.1,174.6,1.3,0,77.6,6
400,"강남","2017-07-07",27.8,142.2,1.1,0,75.6,7
400,"강남","2017-07-07",28.2,158.1,1.1,0,74.3,10
400,"강남","2017-07-07",27.3,200.5,1,1,85.9,11
400,"강남","2017-07-07",27.6,102.9,0.9,0,85.1,12
400,"강남","2017-07-07",28.3,170.5,1.2,0.5,80.9,13
400,"강남","2017-07-07",28.8,181.1,1.7,0,79.2,14
400,"강남","2017-07-07",28.6,185,2.3,0,78.1,15
400,"강남","2017-07-07",29.2,197.6,0.9,0,75.9,16
400,"강남","2017-07-07",29,207.4,2.2,0,77,17
400,"강남","2017-07-07",28.5,203.8,2.5,0,80.5,18
400,"강남","2017-07-07",27.2,211.9,2.8,0.5,88.7,19
400,"강남","2017-07-07",26.2,242.9,3.5,3,93.3,20
400,"강남","2017-07-07",25.7,193,1.8,3,97,21
400,"강남","2017-07-07",26,188.2,1.9,1.5,96.2,22
400,"강남","2017-07-07",26.4,258,0.6,0,92.5,23
400,"강남","2017-07-08",26.5,244.5,1.8,0,91.9,8
400,"강남","2017-07-08",26.4,212.6,1.3,0,92.3,9
400,"강남","2017-07-08",26.3,210.2,1.1,0,92.6,0
400,"강남","2017-07-08",26.5,204.3,2,0,90.2,1
400,"강남","2017-07-08",26.7,218.6,2.4,0,88.5,2
400,"강남","2017-07-08",26.7,218.8,2.3,0,88.7,3
400,"강남","2017-07-08",25.7,192.3,3.3,6,95.7,4
400,"강남","2017-07-08",25.7,209.9,2.3,0.5,95.6,5
400,"강남","2017-07-08",24.6,180,1.4,0.5,96.4,6
400,"강남","2017-07-08",24.9,212.8,1.5,0,97.2,7
400,"강남","2017-07-08",25.6,196.4,1.8,1,95.5,10
400,"강남","2017-07-08",26.2,210.1,2.1,0,91.4,11
400,"강남","2017-07-08",26.5,220.8,2.2,0,91.3,12
400,"강남","2017-07-08",27.3,199.4,2.4,0,87.7,13
400,"강남","2017-07-08",28.9,236.3,2.9,0,80.2,14
400,"강남","2017-07-08",28.9,211.9,2.7,0,76.3,15
400,"강남","2017-07-08",28.9,217.9,1.9,0,78.5,16
400,"강남","2017-07-08",28.2,222.9,1.7,0,81.2,17
400,"강남","2017-07-08",27.6,259.2,2.5,0,81.8,18
400,"강남","2017-07-08",27.6,240.7,2,0,82.8,19
400,"강남","2017-07-08",27.4,266.2,2.1,0,82.2,20
400,"강남","2017-07-08",27,275.4,1.4,0,85,21
400,"강남","2017-07-08",27.2,235,1.7,0,81.9,22
400,"강남","2017-07-08",27.2,244,1,0,81.4,23
400,"강남","2017-07-09",26.7,204.3,1.6,0,84.6,8
400,"강남","2017-07-09",26.3,201.5,1.3,0,89,9
400,"강남","2017-07-09",26.5,0,0,0,87.4,0
400,"강남","2017-07-09",25.8,196.4,1.2,0.5,93.5,1
400,"강남","2017-07-09",25.8,0,0.2,0,94.5,2
400,"강남","2017-07-09",25.8,0,0.2,0,93.9,3
400,"강남","2017-07-09",25.3,0,0.1,0.5,97.8,0
400,"강남","2017-07-09",25.4,0,0.2,0,96,1
400,"강남","2017-07-09",25.4,142.9,0.5,0.5,93.4,2
400,"강남","2017-07-09",26,0,0.3,0,91.1,3
400,"강남","2017-07-09",27.5,179.6,1.6,0,84.8,10
400,"강남","2017-07-09",27.7,180.7,1.3,0,84.7,11
400,"강남","2017-07-09",29.5,145.5,1,0,78.3,12
400,"강남","2017-07-09",30.4,41.4,0.5,0,73.4,13
400,"강남","2017-07-09",26.5,111.7,1.5,11,93.6,14
400,"강남","2017-07-09",26.7,71.3,1.7,10.5,89.1,15
400,"강남","2017-07-09",26.7,55.1,1,0,85.8,16
400,"강남","2017-07-09",27.2,52.5,0.6,0,85.8,17
400,"강남","2017-07-09",27.1,23.7,1.4,0,87.5,18
400,"강남","2017-07-09",27.1,29.2,0.8,0,89.3,19
400,"강남","2017-07-09",27.3,0,0.3,0,88.5,20
400,"강남","2017-07-09",25.9,226.4,0.6,4.5,98.2,21
400,"강남","2017-07-09",25.7,203,1.6,0,92.9,22
400,"강남","2017-07-09",24.3,187.8,0.7,1,92.7,23
400,"강남","2017-07-10",23.7,78.6,1.1,4,98.9,4
400,"강남","2017-07-10",23.9,152.7,0.7,0,98.8,5
400,"강남","2017-07-10",24.1,136.1,0.8,0.5,98,6
400,"강남","2017-07-10",24.5,164.8,0.9,0,96.2,7
400,"강남","2017-07-10",25.1,160.6,0.8,0,95.4,8
400,"강남","2017-07-10",25.2,181.2,1.8,0.5,94.4,9
400,"강남","2017-07-10",25.6,170.5,1.3,0,93.4,0
400,"강남","2017-07-10",25.7,177.1,1.9,0.5,91.5,1
400,"강남","2017-07-10",25,183.4,1,11.5,99.1,2
400,"강남","2017-07-10",25.6,216.8,2.1,9,99.3,3
400,"강남","2017-07-10",26.1,210,1.5,0.5,95.2,10
400,"강남","2017-07-10",25.8,227.9,2.2,8,98.6,11
400,"강남","2017-07-10",26,224.1,3.2,1.5,95.4,12
400,"강남","2017-07-10",25.9,218.2,2.8,9.5,98.8,13
400,"강남","2017-07-10",26.6,230.9,3.5,1.5,90.8,14
400,"강남","2017-07-10",26.6,220.4,2.1,0.5,91.5,15
400,"강남","2017-07-10",26.2,219.7,4.4,1,91.3,16
400,"강남","2017-07-10",24.4,277.4,3,23.5,99.9,17
400,"강남","2017-07-10",24.5,250.4,2.7,0,99.3,18
400,"강남","2017-07-10",24.7,0,0.2,1,99.1,19
400,"강남","2017-07-10",25,303.9,0.8,1.5,99.7,20
400,"강남","2017-07-10",23.6,283.4,1.4,49.5,99.9,21
400,"강남","2017-07-10",23.2,256.2,1.2,6.5,99.9,22
400,"강남","2017-07-10",23,0,0.1,2.5,99.9,23
400,"강남","2017-07-11",23.2,0,0.3,0,99.9,4
400,"강남","2017-07-11",23,66.6,0.9,4.5,99.9,5
400,"강남","2017-07-11",22.9,0,0.3,0.5,99.9,6
400,"강남","2017-07-11",23.1,0,0.4,0,99.9,7
400,"강남","2017-07-11",23.3,272.1,0.7,0.5,99.9,8
400,"강남","2017-07-11",23.1,277.4,2,0,99.2,9
400,"강남","2017-07-11",23.1,275.5,2.1,0,98.8,0
400,"강남","2017-07-11",23.5,258.2,1.3,0,96.7,1
400,"강남","2017-07-11",23.8,260.8,1,0,95.2,2
400,"강남","2017-07-11",24.8,276.6,1.3,0,91.2,3
400,"강남","2017-07-11",26.6,271.4,2,0,81.2,10
400,"강남","2017-07-11",27.5,287.9,1.9,0,74.9,11
400,"강남","2017-07-11",29.4,291.1,1.8,0,65.7,12
400,"강남","2017-07-11",29.9,267.3,1.6,0,60.5,13
400,"강남","2017-07-11",30.7,258.6,2.1,0,57.5,14
400,"강남","2017-07-11",31.3,244.5,1.8,0,57.5,15
400,"강남","2017-07-11",32.2,236.1,1.7,0,54.8,16
400,"강남","2017-07-11",31.4,251.9,2.7,0,60.6,17
400,"강남","2017-07-11",29.9,254.3,2.9,0,71.5,18
400,"강남","2017-07-11",29,230.8,2.3,0,77.1,19
400,"강남","2017-07-11",28.3,226.7,2.1,0,81.9,20
400,"강남","2017-07-11",27.9,253,2.3,0,84.1,21
400,"강남","2017-07-11",27.5,250,1.9,0,86.6,22
400,"강남","2017-07-11",27.2,270.5,1.3,0,87.1,23
400,"강남","2017-07-12",27,242.8,2.1,0,86.8,0
400,"강남","2017-07-12",26.8,250,1.3,0,88.2,1
400,"강남","2017-07-12",26.7,260.6,1.2,0,89,2
400,"강남","2017-07-12",26.2,253.4,1.4,0,91.8,3
400,"강남","2017-07-12",26,258.5,1.1,0,92.5,4
400,"강남","2017-07-12",25.7,255.7,1.3,0,94.7,5
400,"강남","2017-07-12",25.9,269.1,0.9,0,92.6,6
400,"강남","2017-07-12",26.3,240.2,0.7,0,91.1,7
400,"강남","2017-07-12",26.8,241.2,1.4,0,85.1,8
400,"강남","2017-07-12",28.1,262.5,1.7,0,79.2,9
400,"강남","2017-07-12",28.3,253.4,2.4,0,75,10
400,"강남","2017-07-12",29,261.4,2.3,0,71.8,11
400,"강남","2017-07-12",29.1,268.9,2.4,0,70.3,12
400,"강남","2017-07-12",30.3,258.5,2.4,0,63.2,13
400,"강남","2017-07-12",30.7,238.4,1.8,0,63,14
400,"강남","2017-07-12",31.1,270.5,2.5,0,56.4,15
400,"강남","2017-07-12",31.4,260.6,2.2,0,58.2,16
400,"강남","2017-07-12",31,269.4,2.4,0,57.4,17
400,"강남","2017-07-12",29.8,263.2,2.9,0,60.1,18
400,"강남","2017-07-12",29.6,271.9,2.2,0,61.1,19
400,"강남","2017-07-12",28.6,274.3,1.7,0,64.3,20
400,"강남","2017-07-12",28,265.8,1,0,70.3,21
400,"강남","2017-07-12",27.5,265.2,1.2,0,73.6,22
400,"강남","2017-07-12",27.1,278.6,1,0,75.2,23
400,"강남","2017-07-13",26.5,216.8,0.7,0,77.8,0
400,"강남","2017-07-13",26.3,0,0.2,0,78.7,1
400,"강남","2017-07-13",25.4,68.7,1,0,83.8,2
400,"강남","2017-07-13",24.7,67.3,1,0,89.6,3
400,"강남","2017-07-13",24.6,73.1,1,0,87.4,4
400,"강남","2017-07-13",24.1,67.5,0.8,0,91.3,5
400,"강남","2017-07-13",24.3,0,0.3,0,90.4,6
400,"강남","2017-07-13",24.6,61.4,1.1,0,90.3,7
400,"강남","2017-07-13",26.4,90.2,0.8,0,80.1,8
400,"강남","2017-07-13",27.5,172.5,1,0,69.8,9
400,"강남","2017-07-13",28.5,261.4,0.8,0,65.1,10
400,"강남","2017-07-13",29.4,262.8,1,0,62.7,11
400,"강남","2017-07-13",30.4,253.7,2,0,57.5,12
400,"강남","2017-07-13",31.1,267.4,1.9,0,52.7,13
400,"강남","2017-07-13",32.2,266.1,2,0,51,14
400,"강남","2017-07-13",32.2,258.9,2.4,0,54.1,15
400,"강남","2017-07-13",31.5,287.5,2.5,0,56.8,16
400,"강남","2017-07-13",31.7,249.8,2.4,0,54.7,17
400,"강남","2017-07-13",31.5,251.5,2.2,0,56.7,18
400,"강남","2017-07-13",30.7,288.4,1.7,0,59.2,19
400,"강남","2017-07-13",30.5,233.6,1.5,0,59.6,20
400,"강남","2017-07-13",29.8,265.3,2.4,0,62.5,21
400,"강남","2017-07-13",29,246,1.4,0,66,22
400,"강남","2017-07-13",28.7,240.9,1.4,0,68.7,23
400,"강남","2017-07-14",28.1,0,0.3,0,70.9,0
400,"강남","2017-07-14",28.1,192.4,0.7,0,72.2,1
400,"강남","2017-07-14",27.4,0,0.2,0,79.1,2
400,"강남","2017-07-14",27.8,10.4,0.5,0,74.1,3
400,"강남","2017-07-14",27.1,69.5,0.8,0,81.4,0
400,"강남","2017-07-14",26.4,63.8,0.7,0,84.2,1
400,"강남","2017-07-14",26.9,0,0.4,0,81.3,2
400,"강남","2017-07-14",27.5,208.6,1.3,0,78.1,3
400,"강남","2017-07-14",28.2,173.2,1.4,0,75,4
400,"강남","2017-07-14",29.8,231.7,1.9,0,68.2,5
400,"강남","2017-07-14",30.6,168.9,1.9,0,62.3,10
400,"강남","2017-07-14",31.8,185.2,2.4,0,55.7,11
400,"강남","2017-07-14",32.3,182.8,2.2,0,59.2,12
400,"강남","2017-07-14",32.4,270.5,2.3,0,58.2,13
400,"강남","2017-07-14",31.2,265.9,1,1,76.5,14
400,"강남","2017-07-14",32.3,261.3,2.7,0.5,60.5,15
400,"강남","2017-07-14",31.9,264.5,3.5,0,55.2,16
400,"강남","2017-07-14",29.8,247.9,3.8,0,69,17
400,"강남","2017-07-14",29.2,259.9,2.5,0,74.4,18
400,"강남","2017-07-14",28.4,202.1,2.5,0,75.1,19
400,"강남","2017-07-14",28.7,211.8,0.7,0,71.1,20
400,"강남","2017-07-14",28.9,152.7,0.5,0,67.4,21
400,"강남","2017-07-14",28.3,153.6,1,0,73,22
400,"강남","2017-07-14",27.4,132.2,1.3,0,80.4,23
400,"강남","2017-07-15",26.9,184.7,1.4,0,84.4,6
400,"강남","2017-07-15",26.3,171.9,0.7,0,87.7,7
400,"강남","2017-07-15",26.1,177.6,0.8,0,90.2,8
400,"강남","2017-07-15",25.4,164.1,0.7,0.5,94.2,9
400,"강남","2017-07-15",25,0,0.4,0,94.4,0
400,"강남","2017-07-15",23.1,265.8,1.9,36,99.9,1
400,"강남","2017-07-15",23.3,282.8,0.9,5.5,99.9,2
400,"강남","2017-07-15",23.8,0,0.2,0,99.9,3
400,"강남","2017-07-15",24.6,188.2,0.9,0,95.8,4
400,"강남","2017-07-15",25,221.9,2,0,94.5,5
400,"강남","2017-07-15",26.7,229.5,1.5,0,84.7,10
400,"강남","2017-07-15",26.3,215.4,2.7,0,86,11
400,"강남","2017-07-15",26.5,209.4,2.4,0,87,12
400,"강남","2017-07-15",26.6,248.7,2.6,0,85.4,13
400,"강남","2017-07-15",25.4,267.7,2,2,95.2,14
400,"강남","2017-07-15",24.9,261,2,3,98.4,15
400,"강남","2017-07-15",25.6,249.1,3.1,0.5,92.9,16
400,"강남","2017-07-15",25.9,250.9,2.8,0,89.9,17
400,"강남","2017-07-15",26.3,265.8,2,0,85.8,18
400,"강남","2017-07-15",26,225.8,1.4,0,88.9,19
400,"강남","2017-07-15",25.5,225.9,1.9,0.5,92.5,20
400,"강남","2017-07-15",25,201.7,0.6,1,96.2,21
400,"강남","2017-07-15",25,0,0.3,0,95.9,22
400,"강남","2017-07-15",25,257.8,0.6,1.5,95.4,23
400,"강남","2017-07-16",24.9,198,0.8,0,96,6
400,"강남","2017-07-16",25,0,0.2,0.5,95.6,7
400,"강남","2017-07-16",24.4,72.2,1.2,0,99.8,8
400,"강남","2017-07-16",24,173.6,1.1,2,99.9,9
400,"강남","2017-07-16",23.5,93.2,1.3,17,99.9,0
400,"강남","2017-07-16",23.3,0,0.4,27,99.9,1
400,"강남","2017-07-16",23.4,0,0.2,3,99.9,2
400,"강남","2017-07-16",23.7,65.7,0.8,0,99.9,3
400,"강남","2017-07-16",24.1,57.4,0.5,0,99.9,0
400,"강남","2017-07-16",25.2,29.5,0.6,0,94.4,1
400,"강남","2017-07-16",26.1,0,0.4,0,83.1,10
400,"강남","2017-07-16",26.8,170.1,0.7,0,81.4,11
400,"강남","2017-07-16",27.5,144.6,1.1,0,77.4,12
400,"강남","2017-07-16",27.5,181.2,1.8,0,80.7,13
400,"강남","2017-07-16",28.4,200.4,1.6,0,74.9,14
400,"강남","2017-07-16",28.4,187.2,1.9,0,76.8,15
400,"강남","2017-07-16",28.3,216.2,2.5,0,76.1,16
400,"강남","2017-07-16",27.9,197,1.9,0,78.5,17
400,"강남","2017-07-16",27.6,234.4,2.2,0,83.7,18
400,"강남","2017-07-16",27.5,212.8,1.5,0,84.6,19
400,"강남","2017-07-16",27.4,295.4,0.6,0,82.4,20
400,"강남","2017-07-16",27.1,179.1,0.7,0,84.9,21
400,"강남","2017-07-16",27,200.5,0.9,0,86.6,22
400,"강남","2017-07-16",26.9,195.9,1,0,87.6,23
400,"강남","2017-07-17",26.9,168.8,0.5,0,87.4,2
400,"강남","2017-07-17",26.7,195.2,1,0,89.5,3
400,"강남","2017-07-17",26.6,166.6,0.6,0,89.2,4
400,"강남","2017-07-17",26.5,179.1,0.9,0,90,5
400,"강남","2017-07-17",26.2,176.2,0.8,0,92.3,6
400,"강남","2017-07-17",26.3,169.6,0.9,0,92.5,7
400,"강남","2017-07-17",26.2,203.7,0.7,0,92.9,8
400,"강남","2017-07-17",26.8,184.2,0.9,0,89.3,9
400,"강남","2017-07-17",27.4,200.9,1.2,0,84.9,0
400,"강남","2017-07-17",28.4,214.1,1.7,0,76.6,1
400,"강남","2017-07-17",29,234.3,1.3,0,76.2,10
400,"강남","2017-07-17",29.4,264,2,0,72.1,11
400,"강남","2017-07-17",29,278.4,2.4,0,76.7,12
400,"강남","2017-07-17",29.8,250.2,2.5,0,72.5,13
400,"강남","2017-07-17",28.9,268.5,1.4,0.5,81.6,14
400,"강남","2017-07-17",28.8,252.7,2.3,0,70.4,15
400,"강남","2017-07-17",28.7,224.4,2.6,0,67.3,16
400,"강남","2017-07-17",28.5,230.6,2.5,0,68.6,17
400,"강남","2017-07-17",27.7,240.6,2.5,0,70,18
400,"강남","2017-07-17",27.3,229.4,1.6,0,71.1,19
400,"강남","2017-07-17",26.7,175,1.5,0,74,20
400,"강남","2017-07-17",26.5,191.4,0.9,0,79,21
400,"강남","2017-07-17",26.2,214,2,0,82.5,22
400,"강남","2017-07-17",25.7,228.3,2.1,0,85.5,23
400,"강남","2017-07-18",24.6,265.2,2.4,0,92.2,2
400,"강남","2017-07-18",24.1,227,2.6,0,94.5,3
400,"강남","2017-07-18",24.6,239.7,1.4,0,92.6,4
400,"강남","2017-07-18",24.4,184.6,1.1,0,93.5,5
400,"강남","2017-07-18",24.4,199.7,1.1,0,93.5,6
400,"강남","2017-07-18",24.2,0,0.2,0,95.4,7
400,"강남","2017-07-18",24,67.2,0.5,1,98.2,8
400,"강남","2017-07-18",23.9,0,0.3,0.5,99.9,9
400,"강남","2017-07-18",24.3,177.2,0.8,0.5,99.9,0
400,"강남","2017-07-18",24.9,188.3,1.3,0,97.2,1
400,"강남","2017-07-18",24.9,165.7,0.8,0.5,97.4,10
400,"강남","2017-07-18",27,234.6,1.4,0,86.2,11
400,"강남","2017-07-18",27.2,67.8,0.7,0,81.9,12
400,"강남","2017-07-18",28.1,43.8,1.1,0,77.3,13
400,"강남","2017-07-18",29.7,261.4,1.7,0,71,14
400,"강남","2017-07-18",29.7,234.5,1.9,0,68.8,15
400,"강남","2017-07-18",30.8,239.3,2,0,62.8,16
400,"강남","2017-07-18",30.9,287.4,2.1,0,65.2,17
400,"강남","2017-07-18",30.1,296.9,2,0,66.7,18
400,"강남","2017-07-18",30,252,1.8,0,65.4,19
400,"강남","2017-07-18",29.5,282.5,1.2,0,65.3,20
400,"강남","2017-07-18",28.1,262.9,2.6,0,77.3,21
400,"강남","2017-07-18",27.4,273.3,1.7,0,82,22
